primaryKey,genre,popularity,year,revenue,runtime,vote_average,vote_count
The Negotiator,Action,28.725621,98,44547681,140,6.8,582
White Chicks,Comedy,28.703007,4,113086475,109,6.3,679
You Only Live Twice,Action,28.675891,67,111584787,117,6.5,531
Parker,Action,28.670477,13,46216641,118,5.7,1455
The Land Before Time,Animation,28.670193,88,84460846,69,7,640
The Naked Gun 33ä�ń: The Final Insult,Comedy,28.624038,94,51132598,83,6.3,521
Elektra,Action,28.613892,5,56681566,97,4.8,575
Hotel Rwanda,Drama,28.60542,4,38000000,121,7.5,793
Big Eyes,Drama,28.570174,14,28883511,105,6.8,1196
All Is Lost,Action,28.540614,13,6108720,106,6.6,671
You've Got Mail,Comedy,28.540267,98,250821495,119,6.3,838
Transformers: Dark of the Moon,Action,28.529607,11,1123746996,154,6.1,3299
The Sting,Comedy,28.500913,73,159616327,129,7.9,622
Bad Teacher,Comedy,28.497242,11,216197492,92,5.4,1584
Ride Along,Action,28.468,14,153997819,99,6.1,853
The Karate Kid,Drama,28.456572,84,90815558,126,6.9,891
Pride and Prejudice and Zombies,Romance,28.397048,16,16374328,108,5.5,640
Pandorum,Action,28.353517,9,20645327,108,6.5,774
Priest,Action,28.350927,11,78309131,87,5.4,692
Blow,Crime,28.350529,1,83282296,124,7.4,1317
Modern Times,Drama,28.27648,36,8500000,87,8.1,856
About a Boy,Drama,28.227984,2,129000000,101,6.6,607
The Finest Hours,Action,28.223664,16,52099090,114,6.3,588
Crash,Drama,28.223163,4,98410061,112,7.2,1149
Licence to Kill,Adventure,28.22119,89,156167015,133,5.9,541
Hollow Man,Action,28.200874,0,190213455,112,5.6,634
J. Edgar,Drama,28.069419,11,84606030,137,6,741
The Frozen Ground,Thriller,28.060472,13,5496951,105,6.1,465
Last Vegas,Comedy,28.043508,13,134402450,105,6.4,799
Johnny English,Adventure,28.029015,3,160583018,88,6,852
Daybreakers,Fantasy,28.019226,9,51416464,98,6,634
Stuart Little 2,Family,27.990284,2,169956806,78,5.4,613
Idiocracy,Adventure,27.940093,6,495303,84,6.3,664
Predator 2,Science Fiction,27.934978,90,57120318,108,5.9,730
From Paris with Love,Action,27.916284,10,52826594,92,6.1,675
Frankenweenie,Animation,27.908783,12,35287788,87,6.6,932
Sabotage,Action,27.903999,14,17508518,110,5.5,555
The Hundred-Foot Journey,Drama,27.898438,14,88880821,122,7.3,508
Criminal,Action,27.891012,16,14708696,113,5.7,557
The SpongeBob SquarePants Movie,Animation,27.870755,4,140161792,87,6.7,574
Eyes Wide Shut,Mystery,27.870312,99,162091208,159,7.1,1234
Alvin and the Chipmunks: The Road Chip,Adventure,27.867368,15,233755553,92,5.8,428
The Chronicles of Riddick,Action,27.835436,4,115772733,119,6.3,1570
Pi,Mystery,27.788067,98,3221152,84,7.1,586
Ghost Ship,Horror,27.724913,2,68349884,91,5.3,531
Cape Fear,Crime,27.714043,91,182300000,128,7,675
The Five-Year Engagement,Comedy,27.71063,12,53909751,124,5.7,457
Anaconda,Adventure,27.684779,97,136885767,89,4.7,610
Mr. Bean's Holiday,Family,27.683874,7,229736344,90,6.1,663
The Signal,Thriller,27.662696,14,600896,95,5.8,631
The Host,Horror,27.65527,6,88489643,119,6.7,537
I Know What You Did Last Summer,Horror,27.654472,97,125586134,100,5.6,687
Gamer,Action,27.631262,9,40828540,95,5.6,760
Reign of Fire,Adventure,27.615108,2,43061982,101,6,669
Child's Play,Horror,27.600843,88,44196684,87,6.3,581
Babylon A.D.,Action,27.568194,8,72108608,101,5.4,676
Once Upon a Time in Mexico,Action,27.555646,3,98185582,102,6.2,594
Being John Malkovich,Fantasy,27.546914,99,22863596,112,7.3,1101
Changeling,Crime,27.50916,8,113020255,141,7.3,1131
The Switch,Comedy,27.494037,10,49830607,101,5.9,583
The Village,Drama,27.491891,4,256697520,108,6.2,1071
John Q,Drama,27.465433,2,102244770,116,7,594
Zookeeper,Comedy,27.46264,11,169852759,102,5.3,498
Run Lola Run,Action,27.36562,98,7267585,81,7.2,664
The Naked Gun 2Ś_: The Smell of Fear,Comedy,27.33256,91,86930411,85,6.6,546
Zack and Miri Make a Porno,Comedy,27.326466,8,42105111,102,6.1,721
Stoker,Drama,27.322212,13,12077441,99,6.5,882
Gothika,Horror,27.303608,3,141591324,98,5.8,629
Vanilla Sky,Drama,27.299301,1,203388341,136,6.5,1078
Endless Love,Drama,27.256849,14,34077920,103,6.7,542
The Gift,Thriller,27.247013,15,58978653,108,6.7,1049
A View to a Kill,Adventure,27.230493,85,152427960,131,6,506
The 13th Warrior,Adventure,27.220157,99,61698899,102,6.4,510
Regression,Horror,27.215666,15,17671101,106,5.3,585
"South Park: Bigger, Longer & Uncut",Animation,27.197799,99,0,81,7.1,893
The Spy Who Loved Me,Adventure,27.17347,77,185438673,125,6.6,507
Spy Game,Action,27.166757,1,143049560,126,6.8,579
Bad Grandpa,Comedy,27.165222,13,151831537,92,6,680
A Dangerous Method,Drama,27.133277,11,27462041,99,6.2,571
Hall Pass,Comedy,27.11589,11,83160734,105,5.4,611
Arthur and the Invisibles,Adventure,27.097932,6,107944236,94,6,639
Evan Almighty,Fantasy,27.082182,7,173000000,96,5.3,1151
Tears of the Sun,Action,27.055085,3,85632458,121,6.4,573
Jerry Maguire,Comedy,27.039636,96,273552592,139,6.7,913
Inkheart,Adventure,27.018886,8,57490374,106,6,592
What to Expect When You're Expecting,Romance,27.009723,12,79700000,110,5.8,594
Das Boot,Action,26.967494,81,85000000,149,7.9,613
Legends of the Fall,Adventure,26.952727,94,160638883,133,7.2,619
The Incredible Burt Wonderstone,Comedy,26.9385,13,27437881,100,5.3,724
The Gunman,Action,26.935458,15,13644292,115,5.5,392
Blue Valentine,Drama,26.881611,10,16566240,112,6.9,890
JFK,Drama,26.82041,91,205405498,189,7.5,502
The Lucky One,Drama,26.811541,12,99357138,101,6.8,946
Here Comes the Boom,Comedy,26.799913,12,73100172,105,6,593
Coyote Ugly,Comedy,26.79781,0,113916474,100,5.8,575
Dreamcatcher,Drama,26.792794,3,75715436,136,5.3,567
The Vow,Drama,26.780961,12,196114570,104,7,1293
Liar Liar,Comedy,26.721386,97,181000000,86,6.4,1424
G-Force,Fantasy,26.710398,9,292817841,88,5.1,510
A Most Wanted Man,Thriller,26.708193,14,31554855,121,6.5,541
Freddy vs. Jason,Horror,26.69592,3,114908830,97,5.8,594
Couples Retreat,Comedy,26.676487,9,171844840,113,5.3,588
Open Season,Adventure,26.61951,6,197309027,83,6.1,656
The Adjustment Bureau,Science Fiction,26.60772,11,127869379,106,6.5,1652
Happy Gilmore,Comedy,26.598884,96,41205099,92,6.5,755
The Count of Monte Cristo,Action,26.595983,2,75395048,131,7.3,453
Bad Santa,Drama,26.58873,3,76488889,91,6.5,656
The Bodyguard,Thriller,26.576385,92,411006740,129,6.1,661
Dinosaur,Animation,26.548594,0,354248063,82,6.2,542
Cheaper by the Dozen,Comedy,26.516624,3,190212113,98,6,699
"As Above, So Below",Horror,26.510558,14,40100000,93,6.1,766
Team America: World Police,Music,26.509175,4,50907422,98,6.6,660
Texas Chainsaw 3D,Horror,26.497025,13,47241945,92,5.3,465
Adaptation.,Comedy,26.441669,2,32801173,114,7.3,638
Monsters,Drama,26.406001,10,4242978,94,6.2,587
Machete,Action,26.396191,10,31327899,105,6.3,1150
Anna Karenina,Drama,26.38704,12,68929150,130,6.5,639
Chloe,Drama,26.373864,9,8459458,96,5.9,498
Escape from Alcatraz,Crime,26.356697,79,43000000,111,7.2,561
Faster,Crime,26.324874,10,23081726,98,6.1,568
The Last King of Scotland,Drama,26.286954,6,48027970,121,7.4,558
I Spit on Your Grave,Thriller,26.281839,10,572809,108,6.3,519
Skyline,Science Fiction,26.268209,10,66821036,100,4.7,507
Margin Call,Thriller,26.259389,11,19504039,107,6.7,524
Haywire,Action,26.257951,11,33372606,93,5.6,505
He's Just Not That Into You,Comedy,26.253357,9,177259441,129,6.2,959
The Break-Up,Romance,26.251217,6,204999686,106,5.6,832
Harold & Kumar Escape from Guantanamo Bay,Comedy,26.219598,8,43493123,107,6.2,497
The Virgin Suicides,Drama,26.218912,99,10409377,97,7.1,817
Never Back Down,Drama,26.21425,8,41627431,115,6.4,497
Cliffhanger,Action,26.19909,93,255000211,112,6.1,588
Dazed and Confused,Comedy,26.181753,93,7993039,102,7.4,583
Rosemary's Baby,Horror,26.180367,68,33395426,136,7.5,863
The Insider,Drama,26.153669,99,60289912,157,7.3,481
From Hell,Horror,26.134678,1,74558115,122,6.6,741
The Kingdom,Thriller,26.123705,7,86658558,110,6.5,513
A Scanner Darkly,Animation,26.093043,6,7659918,100,6.8,532
For Your Eyes Only,Adventure,26.090746,81,195312802,127,6.3,490
Sinister 2,Horror,26.090495,15,52882018,97,5.4,581
Final Fantasy: The Spirits Within,Adventure,26.074908,1,85131830,106,5.9,433
The Lincoln Lawyer,Crime,26.072228,11,85412898,119,7,902
I Am Sam,Drama,26.071644,1,92542418,132,7.2,530
The Longest Yard,Comedy,26.065735,5,190320568,113,6.2,785
Unleashed,Action,25.999888,5,50871113,103,6.6,518
Remember the Titans,Drama,25.996219,0,136706683,113,7.4,821
The Time Machine,Science Fiction,25.978555,2,123729176,96,5.8,631
Born on the Fourth of July,Drama,25.949277,89,161001698,145,6.7,395
The Omen,Horror,25.939385,76,60922980,111,7.2,476
Bill & Ted's Excellent Adventure,Adventure,25.929893,89,40485039,90,6.7,454
Hard Candy,Drama,25.918007,5,7022209,103,6.8,701
Max Payne,Action,25.903237,8,85416905,100,5.2,613
The Secret in Their Eyes,Crime,25.894065,9,33965843,129,7.8,626
"Batman: The Dark Knight Returns, Part 2",Action,25.891466,13,0,78,7.9,419
The Others,Horror,25.881355,1,0,101,7.4,1660
Entrapment,Romance,25.877794,99,212404396,112,6,602
Dune,Action,25.876582,84,30925690,137,6.5,562
EuroTrip,Comedy,25.848003,4,20796847,93,6.5,656
The House Bunny,Romance,25.838073,8,70442940,97,5.6,529
Cop Out,Action,25.825771,10,55583804,107,5.3,511
Repo Men,Action,25.799697,10,18409891,111,6.2,620
Babel,Drama,25.785925,6,135330182,143,6.9,1055
The Blind Side,Drama,25.767395,9,309208309,129,7.2,1597
The Perfect Storm,Drama,25.752118,0,325756637,130,6.2,597
The Spectacular Now,Comedy,25.722747,13,6854611,95,6.8,1048
The Master,Drama,25.682509,12,28258060,137,7,701
Star Trek: First Contact,Science Fiction,25.6713,96,150000000,111,7,661
Night of the Living Dead,Horror,25.666029,68,30000000,96,7.5,580
Octopussy,Adventure,25.633663,83,187500000,131,6.2,527
House at the End of the Street,Horror,25.613197,12,44287131,101,5.6,555
8MM,Thriller,25.580272,99,96618699,123,6.1,474
Friday,Comedy,25.5748,95,28215918,91,7,503
Brick Mansions,Action,25.520976,14,68896829,90,5.7,615
Desperado,Thriller,25.511217,95,25405445,104,6.8,881
Triangle,Horror,25.496926,9,0,99,6.9,612
Transformers,Adventure,25.468493,7,709709780,144,6.6,4040
The X Files: I Want to Believe,Drama,25.454549,8,68369434,104,5.5,523
The Pink Panther,Action,25.450534,6,0,93,5.6,550
Legally Blonde,Comedy,25.43954,1,141774679,96,6.1,882
Valentine's Day,Comedy,25.41929,10,216485654,125,5.7,1013
The Cell,Horror,25.413955,0,104155843,107,6,436
Another Earth,Drama,25.402697,11,1776935,92,6.8,527
Shanghai Noon,Adventure,25.400935,0,56932305,110,6.2,735
"I Love You, Man",Comedy,25.391899,9,91636986,105,6.5,515
Blue Ruin,Crime,25.349758,14,258384,90,6.9,462
In Bruges,Comedy,25.329493,8,34533783,107,7.4,1388
"Dude, Whereäó»s My Car?",Comedy,25.316146,0,73180723,83,5.2,509
The Bí©lier Family,Comedy,25.302978,14,0,105,7,766
The Awakening,Horror,25.30216,11,209696,107,6.3,458
Year One,Comedy,25.293538,9,62357900,97,4.6,524
On Her Majesty's Secret Service,Adventure,25.289665,69,81974493,142,6.5,456
Beverly Hills Cop II,Action,25.28436,87,299965036,100,6.1,613
A Cinderella Story,Comedy,25.28132,4,70067909,95,6.1,713
The Wave,Drama,25.281197,8,19000000,107,7.5,841
The Life Aquatic with Steve Zissou,Adventure,25.237969,4,34808403,119,7.1,775
A Time to Kill,Crime,25.219805,96,152266007,149,7,509
Safety Not Guaranteed,Comedy,25.186002,12,4007792,85,6.8,556
Traffic,Thriller,25.170217,0,207515725,147,6.9,562
Fun with Dick and Jane,Comedy,25.159168,5,202026112,90,5.9,627
Ride Along 2,Action,25.136082,16,124827316,102,6.1,555
Escobar: Paradise Lost,Thriller,25.112567,14,3758328,120,6.1,271
Step Up 3D,Drama,25.060342,10,159291809,107,6.6,582
Wild Things,Crime,25.041992,98,67200000,108,6.3,444
30 Minutes or Less,Action,25.039383,11,40547440,83,5.6,531
Footloose,Drama,25.03414,84,80035402,107,6.4,505
The Legend of Hercules,Action,25.020428,14,61279452,99,4.4,533
The Transporter Refueled,Thriller,25.002715,15,72629670,96,5.2,559
Scream 3,Horror,24.992057,0,161834276,116,5.7,736
The Abyss,Adventure,24.961625,89,90000098,139,7.1,808
Bicentennial Man,Comedy,24.939295,99,93700000,131,6.9,963
Role Models,Comedy,24.917665,8,92380927,99,6.4,564
The Losers,Action,24.903418,10,23580000,97,6.2,515
Wall Street,Crime,24.898687,87,43848069,126,7,546
Vantage Point,Drama,24.862767,8,151161491,90,6.2,716
L.A. Confidential,Crime,24.860326,97,126216940,138,7.7,1310
Astro Boy,Animation,24.857079,9,44091067,94,6.1,409
Lethal Weapon 4,Action,24.855701,98,285444603,127,6.3,767
Victor Frankenstein,Drama,24.821138,15,34227298,109,5.6,685
The Lost Boys,Horror,24.750909,87,32222567,97,6.8,538
Old School,Comedy,24.70166,3,87055349,91,6.6,541
World Trade Center,Drama,24.697533,6,162945894,128,5.9,447
Four Brothers,Action,24.694551,5,92374674,109,6.7,607
The Infiltrator,Crime,24.672234,16,15436808,127,6.6,573
Sky Captain and the World of Tomorrow,Mystery,24.664776,4,57958696,107,5.7,439
Edge of Darkness,Crime,24.657931,10,74901339,117,6.2,487
No Good Deed,Crime,24.656068,14,53830415,83,5.6,181
Star Trek: The Motion Picture,Science Fiction,24.616634,79,139000000,132,6.2,530
Killing Them Softly,Crime,24.612603,12,37930465,97,5.8,742
The Fountain,Drama,24.606012,6,15304890,96,6.8,827
Cold Mountain,Drama,24.598479,3,173013509,154,6.7,533
Ed Wood,Comedy,24.548633,94,5887457,127,7.3,630
Eraser,Action,24.507987,96,242295562,115,5.6,543
Butch Cassidy and the Sundance Kid,History,24.499996,69,102308889,110,7.4,650
Letters from Iwo Jima,Action,24.47248,6,68673228,141,7.2,541
Cellular,Action,24.459948,4,56422687,94,6.1,537
Man on the Moon,Comedy,24.444186,99,47434430,118,6.9,435
The Other Guys,Action,24.399642,10,170432927,107,6.1,1383
Beneath the Planet of the Apes,Adventure,24.393296,70,18999718,95,6.2,361
Big Momma's House,Crime,24.389194,0,173959438,98,5.6,506
Nanny McPhee,Fantasy,24.356483,5,122489822,97,6.4,711
Bandits,Action,24.353302,1,67631903,123,6.2,302
Escape from New York,Science Fiction,24.351305,81,50244700,99,6.9,703
Freaky Friday,Comedy,24.345651,3,110230332,97,6,879
Pay It Forward,Drama,24.313684,0,55707411,122,7,432
Eight Below,Adventure,24.287306,6,120455994,120,6.7,542
Persepolis,Animation,24.281951,7,0,95,7.7,450
The Jacket,Drama,24.240361,5,21126225,103,6.8,455
The Town,Crime,24.218358,10,154026136,125,7,1468
Flipped,Romance,24.210698,10,1755212,89,7.4,418
The Boy Next Door,Thriller,24.161735,15,52425855,91,4.1,1022
Two Weeks Notice,Romance,24.153567,2,93354918,101,5.9,487
Men of Honor,Drama,24.147269,0,48814909,129,7,544
Solaris,Drama,24.132271,72,0,167,7.7,357
The Royal Tenenbaums,Comedy,24.13081,1,71441250,110,7.4,1286
Flatliners,Drama,24.114459,90,61489265,115,6.3,404
The Rundown,Adventure,24.107835,3,80916492,104,6.4,514
Cinderella Man,Romance,24.100863,5,108539911,144,7.3,616
My Sister's Keeper,Drama,24.09152,9,95714875,109,7.1,598
Spy Kids 2: The Island of Lost Dreams,Action,24.085144,2,119723358,100,5.3,521
Beastly,Drama,24.054062,11,43165571,86,6,849
Behind Enemy Lines,Action,24.012986,1,91753202,106,6,457
Layer Cake,Drama,24.0034,4,11850214,105,7,559
High Fidelity,Comedy,23.982956,0,47126295,113,7,628
Willy Wonka & the Chocolate Factory,Family,23.981601,71,4000000,100,7.4,798
Hoodwinked!,Animation,23.980329,5,51053787,80,5.9,479
Lolita,Drama,23.962109,62,9250000,153,7.3,395
Flags of Our Fathers,War,23.9366,6,65900249,132,6.7,526
Race to Witch Mountain,Adventure,23.935053,9,106303988,98,5.5,509
Case 39,Horror,23.917982,9,29000000,109,6.1,563
How to Lose a Guy in 10 Days,Comedy,23.854701,3,177371441,116,6.3,850
Invictus,Drama,23.85119,9,122233971,134,7,1125
The Waterboy,Comedy,23.839127,98,185991646,90,5.9,512
Nanny McPhee and the Big Bang,Comedy,23.835055,10,93246388,109,6,436
The Firm,Drama,23.736535,93,270248367,154,6.6,501
The Pirates! In an Adventure with Scientists!,Animation,23.700759,12,118338361,88,6.4,374
Before Sunrise,Drama,23.672571,95,5535405,105,7.7,959
The Ladykillers,Comedy,23.666229,4,0,104,6,415
Hostage,Mystery,23.663713,5,77944725,113,6.2,512
Planet 51,Science Fiction,23.661071,9,104945765,91,5.6,556
The Patriot,Drama,23.657284,0,215294342,165,6.8,1099
A Serious Man,Comedy,23.612409,9,31430334,105,6.6,483
Hero,Drama,23.607392,2,177394432,99,7.2,635
Species,Science Fiction,23.607071,95,113374103,108,5.5,453
Elite Squad,Drama,23.604936,7,0,115,7.8,504
Napoleon Dynamite,Comedy,23.603514,4,46118097,95,6.7,554
Bedtime Stories,Fantasy,23.531721,8,212874442,99,5.9,901
Rock of Ages,Comedy,23.515938,12,59418613,123,6,385
Get Smart,Action,23.496054,8,230685453,110,6,1051
Smokin' Aces,Action,23.491962,6,57103895,109,6.4,534
Alvin and the Chipmunks: Chipwrecked,Comedy,23.473004,11,342695435,87,5.4,484
City of Ember,Adventure,23.465539,8,17869048,90,6.2,605
Cruel Intentions,Drama,23.449703,99,75902208,97,6.6,827
The Whole Nine Yards,Comedy,23.441135,0,106371651,98,6.2,531
Walking Tall,Adventure,23.438398,4,57223890,86,6,381
West Side Story,Crime,23.431117,61,43656822,152,7,389
Sideways,Comedy,23.425431,4,109502303,126,6.9,478
Not Another Teen Movie,Comedy,23.423082,1,66468332,89,5.5,431
Robot & Frank,Science Fiction,23.419061,12,3325038,85,6.8,450
The Descent,Adventure,23.413188,5,0,99,6.8,1005
Never Say Never Again,Adventure,23.380757,83,160000000,134,5.8,338
The Iron Lady,History,23.3784,11,114956699,105,6.2,527
Piranha 3D,Comedy,23.343839,10,83188165,88,5.3,581
Speed 2: Cruise Control,Action,23.336875,97,164508066,121,4.1,434
The Living Daylights,Action,23.331459,87,191185897,130,6.2,440
The Darkest Hour,Horror,23.328823,11,64626786,89,4.8,469
Jeepers Creepers,Horror,23.316208,1,59217789,90,6.1,720
Primer,Science Fiction,23.307949,4,424760,77,6.9,658
Before Midnight,Romance,23.299907,13,11176469,108,7.4,568
Silent Hill: Revelation 3D,Thriller,23.292761,12,52302796,94,5,432
Amores perros,Drama,23.281616,0,20908467,154,7.6,521
Wall Street: Money Never Sleeps,Drama,23.25645,10,134748021,133,5.8,493
Coach Carter,Drama,23.234651,5,76669806,136,7.3,496
Surf's Up,Animation,23.230851,7,149044513,85,5.9,601
Splice,Horror,23.227877,9,0,104,5.5,671
The Net,Crime,23.218144,95,110627965,114,5.6,354
The Number 23,Thriller,23.197408,7,77566815,101,6.3,1018
WarGames,Thriller,23.161754,83,79567667,114,7,504
The Last Song,Drama,23.139971,10,0,107,6.9,923
Any Given Sunday,Drama,23.127561,99,100230832,163,6.8,422
The Bridge on the River Kwai,Drama,23.109959,57,33300000,161,7.7,542
Small Soldiers,Comedy,23.088571,98,54682547,110,6.2,511
Assassins,Action,23.073933,95,30303072,132,6,387
A Very Long Engagement,Drama,23.05451,4,0,133,7.1,346
Killers,Action,23.004607,10,98159963,100,5.7,772
Race,Action,22.9951,16,24804129,134,7.1,478
Deep Blue Sea,Action,22.991269,99,73648228,105,5.6,604
Joe,Drama,22.987897,14,2365467,118,6.5,338
Step Brothers,Comedy,22.977983,8,128107642,98,6.5,1062
Runner Runner,Crime,22.975918,13,62616646,91,5.5,543
The Other Boleyn Girl,Drama,22.939557,8,0,115,6.4,477
Elizabethtown,Comedy,22.894898,5,52034889,123,6.1,327
The Apartment,Comedy,22.889294,60,25000000,125,8.1,483
The Fourth Kind,Mystery,22.888173,9,42333295,98,5.8,441
Four Rooms,Crime,22.87623,95,4300000,98,6.5,530
Burlesque,Drama,22.863516,10,89519773,119,6.9,573
Julie & Julia,Romance,22.853006,9,129540499,123,6.6,560
Gulliver's Travels,Comedy,22.845143,10,237382724,85,4.9,621
National Lampoon's Vacation,Comedy,22.838834,83,61399552,98,7.1,410
Blazing Saddles,Western,22.793929,74,119500000,93,7.2,609
Paranormal Activity 2,Horror,22.789649,10,177512032,91,5.7,722
Tango & Cash,Action,22.787667,89,63408614,104,6.1,458
Broken Arrow,Action,22.769108,96,150270147,108,5.7,453
Red Lights,Thriller,22.748174,12,13551174,119,6,376
Winter's Tale,Drama,22.736038,14,30800231,118,6,487
Ella Enchanted,Family,22.71592,4,27388767,96,5.9,437
Centurion,Adventure,22.708647,10,6814789,97,5.9,386
Scooby-Doo 2: Monsters Unleashed,Mystery,22.644275,4,181466833,93,5.4,500
Around the World in 80 Days,Action,22.643776,4,72178895,120,5.7,672
Closer,Drama,22.636908,4,115505027,104,6.7,811
The Gambler,Thriller,22.622453,14,39171130,111,5.7,543
Intolerable Cruelty,Crime,22.620125,3,119940815,100,5.8,391
The Blue Lagoon,Romance,22.585384,80,58853106,104,5.8,408
Hellraiser,Horror,22.583834,87,14564027,94,6.9,449
Jonah Hex,Action,22.581313,10,10539000,80,4.4,420
George of the Jungle,Adventure,22.573237,97,0,92,5.4,496
The Score,Action,22.572323,1,71069884,124,6.7,423
Rush Hour 3,Action,22.57178,7,258022233,91,6.1,783
Flushed Away,Adventure,22.550135,6,64459316,85,6,874
Knocked Up,Comedy,22.527211,7,219076518,129,6.2,1214
The Raven,Crime,22.520842,12,29657751,111,6.1,426
Bullet to the Head,Action,22.503935,13,9489829,92,5.2,481
Jingle All the Way,Family,22.501041,96,129832389,89,5.5,575
Morning Glory,Comedy,22.491388,10,58785180,102,6.1,412
The Life of David Gale,Drama,22.442241,3,38955598,130,7.3,480
Star Trek II: The Wrath of Khan,Action,22.434102,82,96800000,113,7.3,675
Cool Runnings,Comedy,22.409117,93,154864401,98,6.8,491
The Sum of All Fears,Thriller,22.392544,2,193000000,124,5.9,437
Marie Antoinette,Drama,22.364549,6,60474340,123,6.5,642
The Ugly Truth,Comedy,22.332927,9,205298907,96,6.4,972
Star Trek IV: The Voyage Home,Science Fiction,22.258428,86,133000000,119,6.9,477
Conspiracy Theory,Action,22.179658,97,136982834,135,6.5,431
Superman III,Comedy,22.164202,83,75850624,125,5.3,490
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family,22.14595,14,100654149,81,6.1,493
To Kill a Mockingbird,Crime,22.139842,62,13129846,129,8,657
Jack and Jill,Comedy,22.132418,11,149673788,91,4.1,604
The Water Diviner,War,22.096286,14,15520023,112,6.8,431
Brothers,Drama,22.07638,9,43318349,104,6.8,633
Just My Luck,Comedy,22.074306,6,38159905,103,5.8,491
Bend It Like Beckham,Comedy,22.054546,2,76578641,112,6.2,578
Premonition,Thriller,22.049787,7,84146832,96,5.8,381
Leaving Las Vegas,Drama,22.030517,95,49800000,112,7.1,360
Dancer in the Dark,Drama,22.022228,0,40031879,140,7.6,377
Holes,Adventure,22.001408,3,0,117,6.7,383
Spy Kids 3-D: Game Over,Action,21.998734,3,197011982,84,4.7,511
Ever After: A Cinderella Story,Drama,21.988861,98,65705772,121,6.8,399
Leap Year,Romance,21.959742,10,29922472,100,6.4,465
Act of Valor,Action,21.958055,12,81272766,110,6.3,417
Transformers: Revenge of the Fallen,Science Fiction,21.939663,9,836297228,150,6,3138
Patton,Drama,21.933822,70,89800000,172,7.3,323
eXistenZ,Action,21.928025,99,2856712,97,6.7,475
What Dreams May Come,Drama,21.891078,98,71485043,113,6.8,577
Jay and Silent Bob Strike Back,Comedy,21.865021,1,33788161,104,6.4,480
Whatever Works,Comedy,21.857387,9,35097815,92,6.8,350
The Hunt,Drama,21.826888,12,16800000,115,7.9,927
Like Crazy,Drama,21.825564,11,3542353,90,6.4,381
Wayne's World,Music,21.815122,92,121697323,94,6.5,728
High School Musical 3: Senior Year,Comedy,21.801188,8,0,116,6.2,821
Fool's Gold,Romance,21.789615,8,111231041,112,5.4,444
Charlie St. Cloud,Drama,21.75433,10,48190704,99,6.8,566
The One,Action,21.746245,1,72700000,87,5.7,437
Ray,Drama,21.743321,4,124731534,152,7.2,467
Splash,Comedy,21.735068,84,69821334,111,6.1,321
Good Luck Chuck,Comedy,21.729434,7,59192128,101,5.5,444
That's My Boy,Comedy,21.723897,12,58058367,116,5.5,453
State of Play,Action,21.685719,9,87784194,127,6.7,484
The Possession,Horror,21.680424,12,85446075,92,5.8,498
Dragonball Evolution,Action,21.677732,9,0,85,2.9,462
A League of Their Own,Comedy,21.661028,92,107458785,128,6.7,354
Tammy,Comedy,21.657563,14,100525432,97,5,500
The Prince,Thriller,21.638673,14,266586800,93,4.6,218
Escape from L.A.,Action,21.637234,96,42277365,97,5.6,373
A Single Man,Drama,21.626288,9,0,101,7.3,463
Scrooged,Fantasy,21.620317,88,60328000,101,6.7,390
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,21.607228,85,29999213,87,5.7,361
The Box,Thriller,21.606001,9,33333531,115,5.4,597
Sahara,Action,21.605568,5,119269486,124,5.7,434
Star Trek: Nemesis,Science Fiction,21.605533,2,67312826,117,6.1,479
Free State of Jones,War,21.589393,16,25035950,139,6.6,428
The Tuxedo,Thriller,21.549232,2,0,98,5.3,483
Almost Famous,Drama,21.547446,0,47383689,122,7.4,797
Spy Kids,Action,21.543389,1,147934180,88,5.5,867
Doomsday,Action,21.538222,8,22211426,108,5.8,363
The Faculty,Horror,21.535126,98,40283321,104,6.2,492
Doctor Dolittle,Comedy,21.462935,98,294456605,85,5.4,686
The Spiderwick Chronicles,Adventure,21.436682,8,162839667,95,6.3,572
Your Highness,Comedy,21.408222,11,26121638,102,5.2,501
The Manchurian Candidate,Drama,21.394281,4,96105964,129,6.2,393
The Texas Chainsaw Massacre: The Beginning,Horror,21.380635,6,0,91,5.9,402
Grudge Match,Comedy,21.362949,13,44907260,113,6,433
Kill the Messenger,Thriller,21.343093,14,2450846,112,6.6,355
Baby's Day Out,Action,21.312186,94,16671505,99,5.8,274
Incendies,Drama,21.285206,10,7103838,130,7.9,479
We Need to Talk About Kevin,Drama,21.276864,11,6038942,112,7.4,677
City of Angels,Drama,21.272734,98,198685114,114,6.4,529
The Best Exotic Marigold Hotel,Drama,21.258991,11,136836156,124,6.9,459
Along Came a Spider,Crime,21.252797,1,105178561,104,6.1,400
Trust,Crime,21.230737,10,120000,104,6.6,307
New Year's Eve,Comedy,21.219292,11,142044638,118,5.7,718
Jumper,Adventure,21.218,8,222231186,88,5.9,1799
The Wolfman,Drama,21.214571,10,0,102,5.5,549
Woman in Gold,Drama,21.204929,15,61619773,120,7.3,440
The Last Emperor,Drama,21.189028,87,43984230,163,7.4,355
Poseidon,Adventure,21.133748,6,181674817,99,5.5,583
Midnight Cowboy,Drama,21.119209,69,44785053,113,7.4,299
The Ghost Writer,Thriller,21.118196,10,60222298,128,6.7,670
